region_no,region_n,led_no,hour,avail_norm,led_val,subzone_no,subzone_n,subzone_kml
0,CENTRAL REGION,0,0,0.44156835811247575,112,1,UPPER THOMSON,328
0,CENTRAL REGION,0,1,0.4112007783882784,104,1,UPPER THOMSON,328
0,CENTRAL REGION,0,2,0.4001225490196078,102,1,UPPER THOMSON,328
0,CENTRAL REGION,0,3,0.39350288192199956,100,1,UPPER THOMSON,328
0,CENTRAL REGION,0,4,0.32138716063348416,81,1,UPPER THOMSON,328
0,CENTRAL REGION,0,5,0.2839006275587158,72,1,UPPER THOMSON,328
0,CENTRAL REGION,0,22,0.647172619047619,165,1,UPPER THOMSON,328
0,CENTRAL REGION,0,23,0.5485688025210085,139,1,UPPER THOMSON,328
0,CENTRAL REGION,1,0,0.2960932693974326,75,2,MARYMOUNT,331
0,CENTRAL REGION,1,1,0.2846652899859779,72,2,MARYMOUNT,331
0,CENTRAL REGION,1,2,0.265842319523321,67,2,MARYMOUNT,331
0,CENTRAL REGION,1,3,0.2742373467794326,69,2,MARYMOUNT,331
0,CENTRAL REGION,1,4,0.2620539443042364,66,2,MARYMOUNT,331
0,CENTRAL REGION,1,5,0.33651536915919894,85,2,MARYMOUNT,331
0,CENTRAL REGION,1,22,0.4414463495997604,112,2,MARYMOUNT,331
0,CENTRAL REGION,1,23,0.3347866049865486,85,2,MARYMOUNT,331
0,CENTRAL REGION,2,0,0.2758757609223688,70,3,BISHAN EAST,178
0,CENTRAL REGION,2,1,0.280708570988681,71,3,BISHAN EAST,178
0,CENTRAL REGION,2,2,0.2662189492227182,67,3,BISHAN EAST,178
0,CENTRAL REGION,2,3,0.25491674165759676,65,3,BISHAN EAST,178
0,CENTRAL REGION,2,4,0.2489563495630934,63,3,BISHAN EAST,178
0,CENTRAL REGION,2,5,0.25904198161134656,66,3,BISHAN EAST,178
0,CENTRAL REGION,2,22,0.4066371356465918,103,3,BISHAN EAST,178
0,CENTRAL REGION,2,23,0.3448854380967132,87,3,BISHAN EAST,178
0,CENTRAL REGION,3,0,0.2969118009361912,75,10,BIDADARI,206
0,CENTRAL REGION,3,1,0.2489969820152747,63,10,BIDADARI,206
0,CENTRAL REGION,3,2,0.13210242670608524,33,10,BIDADARI,206
0,CENTRAL REGION,3,3,0.12230567873860557,31,10,BIDADARI,206
0,CENTRAL REGION,3,4,0.14580530918945553,37,10,BIDADARI,206
0,CENTRAL REGION,3,5,0.16575264843557527,42,10,BIDADARI,206
0,CENTRAL REGION,3,22,0.8535119487558512,217,10,BIDADARI,206
0,CENTRAL REGION,3,23,0.5396366100024637,137,10,BIDADARI,206
0,CENTRAL REGION,4,0,0.3154723325455033,80,11,SENNETT,100
0,CENTRAL REGION,4,1,0.19512337256239695,49,11,SENNETT,100
0,CENTRAL REGION,4,2,0.10478099136635721,26,11,SENNETT,100
0,CENTRAL REGION,4,3,0.08465985234277917,21,11,SENNETT,100
0,CENTRAL REGION,4,4,0.06610868805990758,16,11,SENNETT,100
0,CENTRAL REGION,4,5,0.11838466411637143,30,11,SENNETT,100
0,CENTRAL REGION,4,22,0.9378889403279647,239,11,SENNETT,100
0,CENTRAL REGION,4,23,0.5304183621256792,135,11,SENNETT,100
0,CENTRAL REGION,5,0,0.0,0,8,WOODLEIGH,207
0,CENTRAL REGION,6,0,0.3483229813664596,88,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,1,0.31295031055900624,79,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,2,0.2511801242236025,64,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,3,0.28695652173913044,73,5,LORONG 8 TOA PAYOH,194
