station_code,station_name,agency,subzone_kml,subzone_name,region_name,region_num
NS4,CHOA CHU KANG,MRT,245,CHOA CHU KANG CENTRAL,WEST REGION,4
NS4,CHOA CHU KANG,LRT,245,CHOA CHU KANG CENTRAL,WEST REGION,4
NS5,YEW TEE,MRT,241,YEW TEE,WEST REGION,4
NS7,KRANJI,MRT,303,TURF CLUB,NORTH REGION,2
NS8,MARSILING,MRT,322,WOODLANDS WEST,NORTH REGION,2
NS9,WOODLANDS,MRT,317,WOODLANDS REGIONAL CENTRE,NORTH REGION,2
NS9,WOODLANDS,MRT,305,WOODGROVE,NORTH REGION,2
NS9,WOODLANDS,MRT,304,WOODLANDS SOUTH,NORTH REGION,2
NS9,WOODLANDS,MRT,321,MIDVIEW,NORTH REGION,2
PE1,COVE,LRT,240,PUNGGOL FIELD,NORTH-EAST REGION,3
PE2,MERIDIAN,LRT,240,PUNGGOL FIELD,NORTH-EAST REGION,3
PE3,CORAL EDGE,LRT,240,PUNGGOL FIELD,NORTH-EAST REGION,3
PE4,RIVIERA,LRT,240,PUNGGOL FIELD,NORTH-EAST REGION,3
PE5,KADALOOR,LRT,276,WATERWAY EAST,NORTH-EAST REGION,3
PE6,OASIS,LRT,276,WATERWAY EAST,NORTH-EAST REGION,3
PE7,DAMAI,LRT,276,WATERWAY EAST,NORTH-EAST REGION,3
PTC,PUNGGOL,LRT,275,MATILDA,NORTH-EAST REGION,3
PTC,PUNGGOL,LRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
PTC,PUNGGOL,MRT,275,MATILDA,NORTH-EAST REGION,3
PTC,PUNGGOL,MRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
PW1,SUM KEE,LRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
PW2,TECK LEE,LRT,217,NORTHSHORE,NORTH-EAST REGION,3
PW3,PUNGGOL POINT,LRT,217,NORTHSHORE,NORTH-EAST REGION,3
PW4,SAMUDERA,LRT,217,NORTHSHORE,NORTH-EAST REGION,3
PW5,NIBONG,LRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
PW6,SUMANG,LRT,292,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,3
PW7,SOO TECK,LRT,275,MATILDA,NORTH-EAST REGION,3
SE1,COMPASSVALE,LRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
SE2,RUMBIA,LRT,257,RIVERVALE,NORTH-EAST REGION,3
SE3,BAKAU,LRT,257,RIVERVALE,NORTH-EAST REGION,3
SE4,KANGKAR,LRT,257,RIVERVALE,NORTH-EAST REGION,3
SE5,RANGGUNG,LRT,250,COMPASSVALE,NORTH-EAST REGION,3
SE5,RANGGUNG,LRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
STC,SENGKANG,LRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
STC,SENGKANG,MRT,236,SENGKANG TOWN CENTRE,NORTH-EAST REGION,3
SW1,CHENG LIM,LRT,237,ANCHORVALE,NORTH-EAST REGION,3
SW2,FARMWAY,LRT,237,ANCHORVALE,NORTH-EAST REGION,3
SW3,KUPANG,LRT,239,FERNVALE,NORTH-EAST REGION,3
SW4,THANGGAM,LRT,239,FERNVALE,NORTH-EAST REGION,3
SW5,FERNVALE,LRT,239,FERNVALE,NORTH-EAST REGION,3
SW6,LAYAR,LRT,239,FERNVALE,NORTH-EAST REGION,3
SW7,TONGKANG,LRT,250,COMPASSVALE,NORTH-EAST REGION,3
SW7,TONGKANG,LRT,237,ANCHORVALE,NORTH-EAST REGION,3
SW8,RENJONG,LRT,250,COMPASSVALE,NORTH-EAST REGION,3
SW8,RENJONG,LRT,237,ANCHORVALE,NORTH-EAST REGION,3
TE1,WOODLANDS NORTH STATION,MRT,272,GREENWOOD PARK,NORTH REGION,2
TE11,STEVENS,MRT,134,NASSIM,CENTRAL REGION,0
TE11,STEVENS,MRT,156,MALCOLM,CENTRAL REGION,0
TE12,NAPIER,MRT,55,RIDOUT,CENTRAL REGION,0
TE12,NAPIER,MRT,134,NASSIM,CENTRAL REGION,0
TE12,NAPIER,MRT,139,TYERSALL,CENTRAL REGION,0
TE13,ORCHARD,MRT,49,PATERSON,CENTRAL REGION,0
TE13,ORCHARD,MRT,73,BOULEVARD,CENTRAL REGION,0
TE14,ORCHARD,MRT,49,PATERSON,CENTRAL REGION,0
TE14,ORCHARD,MRT,73,BOULEVARD,CENTRAL REGION,0
TE15,GREAT WORLD,MRT,15,ROBERTSON QUAY,CENTRAL REGION,0
TE15,GREAT WORLD,MRT,90,LEONIE HILL,CENTRAL REGION,0
TE15,GREAT WORLD,MRT,14,INSTITUTION HILL,CENTRAL REGION,0
TE16,HAVELOCK,MRT,7,TIONG BAHRU,CENTRAL REGION,0
TE16,HAVELOCK,MRT,23,BUKIT HO SWEE,CENTRAL REGION,0
TE17,OUTRAM PARK,MRT,38,EVERTON PARK,CENTRAL REGION,0
TE17,OUTRAM PARK,MRT,46,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION,0
TE17,OUTRAM PARK,MRT,3,CHINATOWN,CENTRAL REGION,0
TE17,OUTRAM PARK,MRT,299,PEOPLE'S PARK,CENTRAL REGION,0
TE17,OUTRAM PARK,MRT,18,PEARL'S HILL,CENTRAL REGION,0
TE18,MAXWELL,MRT,40,MAXWELL,CENTRAL REGION,0
TE18,MAXWELL,MRT,3,CHINATOWN,CENTRAL REGION,0
TE19,SHENTON WAY,MRT,45,CENTRAL SUBZONE,CENTRAL REGION,0
TE19,SHENTON WAY,MRT,41,CECIL,CENTRAL REGION,0
TE2,WOODLANDS,MRT,317,WOODLANDS REGIONAL CENTRE,NORTH REGION,2
TE2,WOODLANDS,MRT,305,WOODGROVE,NORTH REGION,2
TE2,WOODLANDS,MRT,304,WOODLANDS SOUTH,NORTH REGION,2
TE2,WOODLANDS,MRT,321,MIDVIEW,NORTH REGION,2
TE20,MARINA BAY,MRT,45,CENTRAL SUBZONE,CENTRAL REGION,0
TE20,MARINA BAY,MRT,34,STRAITS VIEW,CENTRAL REGION,0
TE22,GARDENS BY THE BAY,MRT,11,MARINA SOUTH,CENTRAL REGION,0
TE23,TANJONG RHU,MRT,71,TANJONG RHU,CENTRAL REGION,0
TE24,KATONG PARK,MRT,71,TANJONG RHU,CENTRAL REGION,0
TE24,KATONG PARK,MRT,300,MOUNTBATTEN,CENTRAL REGION,0
TE25,TANJONG KATONG,MRT,143,MARINE PARADE,CENTRAL REGION,0
TE25,TANJONG KATONG,MRT,300,MOUNTBATTEN,CENTRAL REGION,0
TE26,MARINE PARADE,MRT,143,MARINE PARADE,CENTRAL REGION,0
TE26,MARINE PARADE,MRT,72,KATONG,CENTRAL REGION,0
TE27,MARINE TERRACE,MRT,143,MARINE PARADE,CENTRAL REGION,0
TE27,MARINE TERRACE,MRT,118,FRANKEL,EAST REGION,1
TE28,SIGLAP,MRT,59,SIGLAP,EAST REGION,1
TE28,SIGLAP,MRT,118,FRANKEL,EAST REGION,1
TE29,BAYSHORE,MRT,136,BAYSHORE,EAST REGION,1
TE3,WOODLANDS SOUTH,MRT,304,WOODLANDS SOUTH,NORTH REGION,2
TE4,SPRINGLEAF,MRT,291,SPRINGLEAF,NORTH REGION,2
TE4,SPRINGLEAF,MRT,327,NEE SOON,NORTH REGION,2
TE5,LENTOR,MRT,254,TAGORE,NORTH-EAST REGION,3
TE5,LENTOR,MRT,234,YIO CHU KANG WEST,NORTH-EAST REGION,3
TE6,MAYFLOWER,MRT,329,SHANGRI-LA,NORTH-EAST REGION,3
TE6,MAYFLOWER,MRT,111,KEBUN BAHRU,NORTH-EAST REGION,3
TE7,BRIGHT HILL,MRT,328,UPPER THOMSON,CENTRAL REGION,0
TE8,UPPER THOMSON,MRT,328,UPPER THOMSON,CENTRAL REGION,0
TE9,CALDECOTT,MRT,210,TOA PAYOH WEST,CENTRAL REGION,0
